city_development_index,experience,enrolled_university,relevent_experience,education_level,company_type,major_discipline,target,target_label
0.698,2.0,Full time course,No relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,11.0,No enrollment,Has relevent experience,Masters,Public Sector,STEM,0.0,Não procurando emprego
0.624,19.0,No enrollment,Has relevent experience,Other,Other,Non Degree,1.0,Procurando novo emprego
0.624,5.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,10.0,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.7759999999999999,10.0,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,11.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.7390000000000001,1.0,Full time course,No relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.91,2.0,No enrollment,No relevent experience,Graduate,Other,Arts,1.0,Procurando novo emprego
0.884,21.0,Part time course,Has relevent experience,Masters,Funded Startup,STEM,0.0,Não procurando emprego
0.848,15.0,No enrollment,Has relevent experience,Masters,Early Stage Startup,STEM,0.0,Não procurando emprego
0.527,5.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.698,21.0,No enrollment,Has relevent experience,Masters,Funded Startup,STEM,0.0,Não procurando emprego
0.91,5.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.926,12.0,No enrollment,Has relevent experience,Graduate,Other,Business Degree,0.0,Não procurando emprego
0.55,2.0,Part time course,Has relevent experience,Graduate,Early Stage Startup,STEM,0.0,Não procurando emprego
0.794,9.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,10.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Other,0.0,Não procurando emprego
0.925,2.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,14.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.939,21.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.91,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,17.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.926,5.0,No enrollment,Has relevent experience,Graduate,Other,Business Degree,0.0,Não procurando emprego
0.939,9.0,Full time course,No relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.624,8.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.926,9.0,Full time course,No relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.91,11.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,6.0,No enrollment,No relevent experience,Graduate,Other,Other,1.0,Procurando novo emprego
0.878,17.0,Part time course,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,5.0,Full time course,No relevent experience,Graduate,Public Sector,STEM,0.0,Não procurando emprego
0.897,7.0,No enrollment,Has relevent experience,Other,Pvt Ltd,Non Degree,1.0,Procurando novo emprego
0.5579999999999999,2.0,Full time course,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.878,11.0,No enrollment,Has relevent experience,High School,Pvt Ltd,Non Degree,0.0,Não procurando emprego
0.55,1.0,Full time course,No relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.897,7.0,No enrollment,Has relevent experience,Masters,Other,STEM,0.0,Não procurando emprego
0.624,3.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.939,3.0,No enrollment,No relevent experience,High School,Pvt Ltd,Non Degree,0.0,Não procurando emprego
0.91,6.0,Full time course,No relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.939,17.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.836,3.0,Full time course,Has relevent experience,High School,Pvt Ltd,Non Degree,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Other,Business Degree,1.0,Procurando novo emprego
0.579,3.0,No enrollment,No relevent experience,Other,Other,Non Degree,1.0,Procurando novo emprego
0.624,16.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.624,8.0,No enrollment,No relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.91,8.0,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0,Não procurando emprego
0.8270000000000001,19.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,6.0,Full time course,No relevent experience,High School,Pvt Ltd,Non Degree,0.0,Não procurando emprego
0.887,14.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Other,0.0,Não procurando emprego
0.843,14.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,4.0,Full time course,No relevent experience,High School,Pvt Ltd,Non Degree,0.0,Não procurando emprego
0.91,3.0,No enrollment,Has relevent experience,Phd,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,3.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Business Degree,0.0,Não procurando emprego
0.836,21.0,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,7.0,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,1.0,Procurando novo emprego
0.624,19.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.624,21.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.925,3.0,Full time course,No relevent experience,Graduate,NGO,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,17.0,No enrollment,Has relevent experience,Graduate,NGO,STEM,0.0,Não procurando emprego
0.624,5.0,No enrollment,Has relevent experience,Masters,Other,STEM,0.0,Não procurando emprego
0.926,2.0,No enrollment,No relevent experience,High School,Pvt Ltd,Non Degree,0.0,Não procurando emprego
0.92,11.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.91,18.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,3.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.92,3.0,Full time course,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.915,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.926,11.0,Full time course,No relevent experience,Masters,Public Sector,STEM,0.0,Não procurando emprego
0.795,21.0,No enrollment,Has relevent experience,Masters,Public Sector,STEM,0.0,Não procurando emprego
0.884,5.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Other,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Other,Other,0.0,Não procurando emprego
0.91,1.0,Full time course,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.84,5.0,Full time course,No relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.55,3.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.836,6.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.925,9.0,Full time course,No relevent experience,High School,Pvt Ltd,Non Degree,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.92,19.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.856,5.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,14.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,11.0,Full time course,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.899,6.0,Full time course,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.913,16.0,No enrollment,Has relevent experience,Graduate,Public Sector,No Major,0.0,Não procurando emprego
0.89,2.0,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.887,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.939,14.0,No enrollment,Has relevent experience,Graduate,Public Sector,STEM,0.0,Não procurando emprego
0.926,15.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.794,18.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.926,8.0,Full time course,Has relevent experience,Graduate,Funded Startup,STEM,0.0,Não procurando emprego
0.91,15.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.762,9.0,Full time course,Has relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.855,16.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.91,2.0,No enrollment,Has relevent experience,Masters,NGO,STEM,0.0,Não procurando emprego
0.924,8.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.624,10.0,No enrollment,No relevent experience,Graduate,Other,Business Degree,1.0,Procurando novo emprego
0.624,6.0,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.926,5.0,Full time course,No relevent experience,Graduate,Early Stage Startup,STEM,0.0,Não procurando emprego
0.8959999999999999,21.0,No enrollment,Has relevent experience,Masters,Other,STEM,0.0,Não procurando emprego
0.926,19.0,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0,Não procurando emprego
0.479,1.0,Full time course,No relevent experience,High School,Other,Non Degree,1.0,Procurando novo emprego
0.624,1.0,No enrollment,No relevent experience,High School,Other,Non Degree,1.0,Procurando novo emprego
0.8270000000000001,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.92,11.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.743,1.0,Full time course,Has relevent experience,Masters,Other,STEM,0.0,Não procurando emprego
0.55,5.0,Full time course,No relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.624,6.0,Full time course,No relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.762,10.0,Full time course,Has relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.939,14.0,No enrollment,Has relevent experience,Masters,Funded Startup,STEM,0.0,Não procurando emprego
0.92,8.0,Full time course,No relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.691,1.0,Part time course,No relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.91,16.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.924,16.0,No enrollment,Has relevent experience,Masters,NGO,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Public Sector,STEM,0.0,Não procurando emprego
0.923,4.0,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.926,9.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Humanities,1.0,Procurando novo emprego
0.802,11.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.924,10.0,Full time course,No relevent experience,Graduate,Public Sector,STEM,0.0,Não procurando emprego
0.754,21.0,No enrollment,Has relevent experience,Masters,Other,Humanities,0.0,Não procurando emprego
0.698,9.0,Part time course,Has relevent experience,Graduate,Funded Startup,STEM,0.0,Não procurando emprego
0.92,13.0,No enrollment,Has relevent experience,Graduate,Other,No Major,0.0,Não procurando emprego
0.794,5.0,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.698,13.0,No enrollment,No relevent experience,Masters,Public Sector,STEM,0.0,Não procurando emprego
0.887,8.0,Part time course,Has relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.624,2.0,Full time course,No relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.926,1.0,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,High School,Pvt Ltd,Non Degree,0.0,Não procurando emprego
0.754,7.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.91,2.0,No enrollment,No relevent experience,Graduate,Pvt Ltd,Arts,1.0,Procurando novo emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.698,9.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.91,7.0,Full time course,Has relevent experience,Masters,NGO,STEM,0.0,Não procurando emprego
0.92,17.0,No enrollment,Has relevent experience,Masters,NGO,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.926,18.0,No enrollment,Has relevent experience,Masters,Early Stage Startup,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,Other,0.0,Não procurando emprego
0.949,16.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.843,18.0,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,17.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,9.0,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.92,16.0,Full time course,Has relevent experience,Graduate,Funded Startup,STEM,0.0,Não procurando emprego
0.84,8.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.579,3.0,Full time course,No relevent experience,Graduate,Other,Business Degree,0.0,Não procurando emprego
0.91,21.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.802,2.0,No enrollment,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.91,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,15.0,No enrollment,Has relevent experience,Graduate,Funded Startup,Humanities,0.0,Não procurando emprego
0.91,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,4.0,Full time course,No relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.91,6.0,Full time course,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.698,12.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.64,5.0,Full time course,No relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.91,14.0,No enrollment,Has relevent experience,Masters,Funded Startup,STEM,0.0,Não procurando emprego
0.91,21.0,Full time course,No relevent experience,Masters,Other,Humanities,0.0,Não procurando emprego
0.743,17.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,6.0,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,1.0,Procurando novo emprego
0.8270000000000001,14.0,No enrollment,Has relevent experience,Masters,Funded Startup,STEM,0.0,Não procurando emprego
0.926,15.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.855,11.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.92,4.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,Humanities,0.0,Não procurando emprego
0.682,21.0,No enrollment,Has relevent experience,Graduate,Other,Humanities,0.0,Não procurando emprego
0.624,2.0,Full time course,No relevent experience,Graduate,Pvt Ltd,Other,1.0,Procurando novo emprego
0.887,8.0,Full time course,No relevent experience,Masters,Public Sector,STEM,1.0,Procurando novo emprego
0.855,12.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.884,7.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.887,2.0,Part time course,No relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.74,11.0,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,16.0,No enrollment,No relevent experience,Masters,NGO,STEM,0.0,Não procurando emprego
0.939,14.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,5.0,Full time course,No relevent experience,Graduate,NGO,STEM,0.0,Não procurando emprego
0.698,2.0,Full time course,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.923,2.0,Full time course,No relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,1.0,Full time course,Has relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.698,7.0,Part time course,Has relevent experience,Masters,Other,STEM,1.0,Procurando novo emprego
0.55,11.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.624,6.0,Part time course,Has relevent experience,Masters,Other,STEM,0.0,Não procurando emprego
0.698,12.0,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.738,5.0,Full time course,Has relevent experience,Graduate,Early Stage Startup,STEM,0.0,Não procurando emprego
0.92,6.0,Full time course,No relevent experience,Graduate,Other,Humanities,0.0,Não procurando emprego
0.897,6.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.926,21.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.92,4.0,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.91,9.0,No enrollment,Has relevent experience,High School,Pvt Ltd,Non Degree,0.0,Não procurando emprego
0.856,2.0,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.83,8.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,1.0,No enrollment,Has relevent experience,Masters,Other,STEM,1.0,Procurando novo emprego
0.887,21.0,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0,Não procurando emprego
0.925,19.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.926,13.0,Full time course,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.555,4.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.754,7.0,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.624,8.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.624,4.0,Full time course,Has relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.556,6.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Other,1.0,Procurando novo emprego
0.92,17.0,No enrollment,Has relevent experience,Graduate,Funded Startup,Humanities,0.0,Não procurando emprego
0.579,5.0,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.925,10.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.92,13.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.804,14.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,1.0,No enrollment,Has relevent experience,Masters,Other,STEM,1.0,Procurando novo emprego
0.913,15.0,No enrollment,Has relevent experience,Phd,Funded Startup,STEM,0.0,Não procurando emprego
0.92,10.0,Part time course,Has relevent experience,Masters,NGO,Arts,0.0,Não procurando emprego
0.698,14.0,No enrollment,Has relevent experience,Masters,Other,STEM,1.0,Procurando novo emprego
0.624,7.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Public Sector,STEM,0.0,Não procurando emprego
0.624,2.0,No enrollment,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.802,9.0,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,3.0,No enrollment,No relevent experience,Graduate,Public Sector,STEM,0.0,Não procurando emprego
0.91,10.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Humanities,0.0,Não procurando emprego
0.794,4.0,No enrollment,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.624,7.0,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0,Não procurando emprego
0.926,15.0,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.92,5.0,Other,No relevent experience,Other,Other,Non Degree,0.0,Não procurando emprego
0.92,9.0,No enrollment,Has relevent experience,Graduate,Public Sector,STEM,0.0,Não procurando emprego
0.769,10.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,11.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.92,6.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.698,21.0,No enrollment,Has relevent experience,Phd,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,15.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,9.0,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.579,5.0,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,1.0,Procurando novo emprego
0.91,7.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Business Degree,0.0,Não procurando emprego
0.926,2.0,Full time course,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.92,2.0,Full time course,No relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.91,3.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,No Major,0.0,Não procurando emprego
0.899,21.0,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0,Não procurando emprego
0.887,21.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Masters,Other,STEM,0.0,Não procurando emprego
0.92,3.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Humanities,0.0,Não procurando emprego
0.926,21.0,Part time course,Has relevent experience,Masters,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.698,11.0,Full time course,No relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.84,6.0,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,1.0,Procurando novo emprego
0.804,10.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.92,2.0,Part time course,No relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.92,16.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.893,4.0,Full time course,No relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.579,6.0,Full time course,No relevent experience,Graduate,Other,Other,1.0,Procurando novo emprego
0.804,3.0,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,7.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.624,8.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.91,9.0,No enrollment,Has relevent experience,Graduate,Funded Startup,No Major,0.0,Não procurando emprego
0.725,9.0,No enrollment,No relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.754,8.0,Full time course,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.55,3.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.887,7.0,No enrollment,Has relevent experience,Masters,Other,STEM,1.0,Procurando novo emprego
0.923,5.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.738,1.0,Other,No relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.924,21.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,1.0,No enrollment,No relevent experience,Primary School,Other,Non Degree,0.0,Não procurando emprego
0.624,2.0,Full time course,Has relevent experience,Graduate,Early Stage Startup,STEM,1.0,Procurando novo emprego
0.624,12.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.855,19.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.624,4.0,Full time course,No relevent experience,Masters,Public Sector,STEM,1.0,Procurando novo emprego
0.92,7.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Humanities,0.0,Não procurando emprego
0.579,6.0,No enrollment,Has relevent experience,Graduate,Other,Humanities,1.0,Procurando novo emprego
0.91,19.0,Part time course,No relevent experience,Graduate,Pvt Ltd,Business Degree,0.0,Não procurando emprego
0.926,21.0,Full time course,No relevent experience,Masters,Other,STEM,0.0,Não procurando emprego
0.579,6.0,Other,No relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.926,15.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.926,2.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.939,10.0,No enrollment,Has relevent experience,Masters,Other,STEM,1.0,Procurando novo emprego
0.698,4.0,Part time course,Has relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.624,19.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.682,6.0,No enrollment,Has relevent experience,Graduate,Public Sector,Other,0.0,Não procurando emprego
0.92,19.0,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,1.0,Procurando novo emprego
0.949,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,7.0,No enrollment,No relevent experience,Primary School,Other,Non Degree,0.0,Não procurando emprego
0.55,10.0,No enrollment,No relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,5.0,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0,Não procurando emprego
0.92,6.0,No enrollment,Has relevent experience,Graduate,Public Sector,STEM,0.0,Não procurando emprego
0.92,5.0,No enrollment,Has relevent experience,Graduate,Early Stage Startup,STEM,0.0,Não procurando emprego
